SEQN,RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
84547,37,2,2,12,1.09
84548,54,2,4,9,2.78
84549,7,2,7,15,4.16
84550,29,1,3,7,1.29
84551,73,1,1,4,1.13
84552,37,2,4,1,0.07
84553,8,1,3,77,NA
84554,2,1,3,15,5
84555,56,2,1,9,1.7
84556,68,1,1,12,NA
84557,8,1,6,8,1.38
84558,27,1,6,15,5
84559,10,1,4,5,0.49
84560,0,2,2,6,1.4
84561,55,2,3,15,5
84562,60,2,2,1,0
84563,9,1,1,8,1.22
84564,74,1,2,1,0.07
84565,25,2,6,12,3.2
84566,71,2,4,2,0.68
84567,65,1,3,4,0.53
84568,72,1,3,14,5
84569,55,2,1,15,5
84570,11,2,1,7,1.51
84571,0,2,4,14,3.16
84572,0,2,1,4,0.8
84573,16,1,1,14,3.72
84574,9,2,3,15,4.63
84575,61,1,4,12,NA
84576,46,2,4,13,NA
84577,0,2,1,15,5
84578,4,2,1,12,NA
84579,27,2,6,15,5
84580,18,1,6,NA,NA
84581,32,2,2,8,2.02
84582,66,1,4,NA,NA
84583,56,2,4,3,0.6
84584,62,2,2,NA,NA
84585,23,1,3,15,5
84586,23,1,1,9,2.27
84587,22,2,1,5,0.77
84588,35,1,4,7,1.46
84589,12,1,1,7,1.65
84590,1,2,4,9,1.22
84591,7,2,4,7,1.65
84592,58,1,7,5,1.34
84593,40,1,3,9,3.11
84594,67,2,3,15,5
84595,80,1,3,9,5
84596,26,1,2,6,1.49
84597,63,2,6,5,1.09
84598,7,2,2,15,3.93
84599,4,1,2,6,1.06
84600,30,1,3,8,3.14
84601,7,2,4,7,1.44
84602,63,2,3,9,3.75
84603,3,2,4,7,1.65
84604,9,2,1,1,0
84605,14,2,1,9,2.99
84606,63,1,3,4,0.76
84607,40,2,1,99,NA
84608,70,1,2,15,5
84609,62,1,3,15,5
84610,54,1,3,15,5
84611,59,2,1,4,0.64
84612,48,1,6,99,NA
84613,8,1,6,15,4.12
84614,80,1,3,6,1.76
84615,54,1,4,14,2.61
84616,2,2,1,5,0.54
84617,42,2,3,8,3.14
84618,23,2,1,10,2.85
84619,41,2,6,8,1.67
84620,21,2,6,10,1.55
84621,6,2,1,5,0.95
84622,80,1,4,7,2.18
84623,53,1,4,3,0.9
84624,8,1,1,6,0.98
84625,40,2,6,12,4.63
84626,43,1,2,14,5
84627,80,1,1,3,0.63
84628,32,2,1,9,1.74
84629,80,2,3,6,1.88
84630,8,1,3,14,3.72
84631,57,1,4,3,1.19
84632,39,2,6,12,NA
84633,10,2,3,8,1.8
84634,10,1,3,7,1.32
84635,14,1,7,8,1.54
84636,4,2,2,NA,NA
84637,71,2,4,14,5
84638,2,2,3,15,5
84639,30,2,2,3,0.51
84640,80,2,3,14,5
84641,28,2,4,1,0.15
84642,54,2,3,3,1.02
84643,13,1,4,8,1.23
84644,80,2,3,7,2.76
84645,68,1,2,NA,NA
84646,50,2,3,3,1.01
84647,0,1,3,3,0.46
84648,4,1,3,10,3.67
84649,80,1,3,14,5
84650,30,2,4,15,5
84651,12,2,4,5,1.01
84652,59,1,4,15,5
84653,7,2,2,14,4.58
84654,8,2,1,14,2.64
84655,4,1,4,2,0.24
84656,7,2,3,9,1.22
84657,35,1,1,4,0.89
84658,22,2,4,7,1.65
84659,47,2,4,3,0.52
84660,40,1,4,15,4.23
84661,41,1,2,6,1.27
84662,63,2,4,1,0.16
84663,18,1,1,15,4.93
84664,5,1,7,2,0.39
84665,73,2,3,15,5
84666,15,1,3,14,3.66
84667,11,2,4,3,0.56
84668,56,2,4,8,1.76
84669,3,2,3,10,2.88
84670,2,1,3,15,5
84671,25,2,3,8,2.81
